Source,Type,Date,Title,link,Info,
Netherlands,guidance,"May 27, 2026","Andean virus infection | LCI guideline (update, in Dutch)",https://lci.rivm.nl/richtlijnen/andesvirusinfectie,"Based on the published international guidelines known to date, it hasRIVMProvisional policy has been drawn up for measures, monitoring, and testing policy for those on board and their contacts. Given the rapid developments, this is a provisional policy and will be adjusted as necessary based on advancing knowledge and insights.",
PAHO,webinar,"May 27, 2026",Canada's experience in the repatriation of contacts in the Andes virus outbreak, https://paho-org.zoom.us/meeting/register/2TIjsP-rTAqmiRLQnEFggw,"Overview: In April 2026, an outbreak of Andes virus hantavirus was confirmed aboard the MV Hondius cruise ship, affecting passengers and crew of multiple nationalities. On 10 May, following the vessel's call at Tenerife, passengers and crew disembarked and were repatriated to their countries of residence, including a number of Canadian residents. This webinar presents Canada's experience in managing the repatriation process, the screening and follow-up of returning individuals, and a passenger who returned asymptomatic and later tested positive for Andes virus.
 
Virtual meeting logistical details:
 
•	Date: Wednesday, 27 May 2026
•	Time: 12:00PM – 1:00PM EDT (Ottawa/Washington, DC time)
•	Format: Virtual meeting hosted by PAHO/WHO on Zoom
•	Language: Simultaneous translation is being provided for English, French, Portuguese, and Spanish
•	Intended audience: Authorities and professionals at the national level in Ministries of Health and related entities involved in preparedness and response to events of this nature.
•	Registration link: https://paho-org.zoom.us/meeting/register/2TIjsP-rTAqmiRLQnEFggw
 
Virtual meeting agenda:
•	Current global situation of the hantavirus Andres event (PAHO) — 5 min
•	Canada experience – PHAC – 30 min
o	Timeline of Canada's response
o	Event information management
o	Implementation of response actions
o	Way forward
•	Questions and answers from participating countries --25 min
 
We greatly appreciate your participation in this important exchange.
 
Respectfully,
 
WHO IHR Regional Contact Point
 
",
WHO,Webinar,"May 27, 2026",Diagnostic Testing for Andes Virus Infections. ,https://www.who.int/news-room/events/detail/2026/05/27/default-calendar/diagnostic-testing-for-andes-virus-infections,"Webinar @ May 27, 2026

In this webinar session we aim to:

•    provide a rapid update on the current epidemiological situation of the Hantavirus outbreak
•    provide an overview of scientific knowledge on Hantaviruses, and Orthohantavirus andesense: reservoirs, transmission, clinical forms, diagnostic testing and genetic relatedness of sequenced viruses
•    describe the rational and process for the development of the WHO interim guidance on laboratory testing of Andes virus (Orthohantavirus andesense) , and its key recommendations.",
CBC news,Situation update,"May 22, 2026","No Ebola cases in Canada and no new hantavirus cases, chief public health officer says",https://www.cbc.ca/news/health/livestory/phac-public-health-agency-canada-ebola-hantavirus-9.7208488,"Reimer said there are no Ebola cases in Canada, and there have been no new hantavirus cases in Canada since the case announced last week.",
WHO,situation update,"May 22, 2026",Public health in action: from detection to response – how International Health Regulations (2005) guided response to hantavirus outbreak\,https://www.who.int/europe/news-room/photo-stories/item/public-health-in-action--from-detection-to-response---how-international-health-regulations-(2005)-guided-response-to-hantavirus-outbreak,Description of public health in action and response,
WHO,presentation ,"May 22, 2026 @ 1300CET","WHO EPI-WIN : Hantavirus in Focus II: Hantavirus in an International Maritime Setting: Natural History, infection control and clinical management of patients in hospital.",https://bit.ly/4wza6vi  ,"•        To share information on natural history of the virus.
•        To provide updates on the clinical care and management of cases, including supportive care approaches and potential therapeutics.
•        To provide information on infection prevention and control measures that should be taken and current WHO guidance. 
Introduction: EPI-WIN Science and Knowledge Translation, WHO 
Welcome remarks: Tania Kelly, Case Management Expert and Mahmood Hamouda, Health Systems Officer, Safe and Scalable Care unit, Humanitarian and Disaster Management department, WHO headquarters
Natural history of the disease: Gregory Merz, Division of Infectious Diseases, University of New Mexico, USA 
IPC in Health Care Setting: Angel Rodriguez, Advisor, Clinical Management of Infectious Hazards, Infectious Hazard Management, WHO headquarters
IPC in the ship/disembarking: Ana Paula Coutinho Rehse, Technical Officer, Infection Prevention and Control, WHO European Region
Treatment of a stable patient - Switzerland: Walter Zingg, Senior Physician, Department of Infectious Diseases and Hospital Epidemiology, University Hospital Zurich
Treatment of a critical care patient – South Africa: Evan Shoul, Infectious Diseases Physician, Netcare Milpark Hospital, Department of Internal Medicine, University of the Witwatersrand, Johannesburg, South Africa
Interactive Q&A with speakers: Tania Kelly (moderator)
All speakers above and 
Maria (Gaby) Frank, Director, Johns Hopkins Special Pathogens Center, USA
Eduardo Kattan, Assistant Professor, Department of Intensive Care Medicine, Faculty of Medicine, Pontificia Universidad Católica de Chile, Santiago, Chile
Frank van de Veerdonk, Professor of Medicine and Infectious Diseases, Department of Internal Medicine and Radboud Center for Infectious Diseases, Netherlands
",
CDC,situation update,"May 19, 2026",Andes Virus Outbreak on a Cruise Ship: Current Situation,https://www.cdc.gov/hantavirus/situation-summary/index.html,"No cases confirmed in US, overall risk is extremely low. CDC repartriated 18 passengers from the cruise ship on May 10, all in quarantine for 42 day period.",
WHO,presentation ,May 20 @ 1300CET,Hantavirus in Focus I: what we know and what it means,https://www.who.int/news-room/events/detail/2026/05/20/default-calendar/hantavirus-in-focus-i-what-we-know-and-what-it-means,"This webinar will share what is known about hantavirus, including the global and country perspectives, and what this event means for public health and community protection.",
PHO,overview for testing,"May 15, 2026",Hantaviruses – Serology and PCR,https://www.publichealthontario.ca/en/Laboratory-Services/Test-Information-Index/Hantavirus-Serology,This page provides information on the hantavirus testing available through Public Health Ontario (PHO).,
PHAC,siutation update,"May 14, 2026",Speaking Remarks for the Chief Public Health Officer,https://www.canada.ca/en/public-health/news/2026/05/speaking-remarks-for-the-chief-public-health-officer.html,"Hantavirus Technical Briefing  and situation update May 14, 2026",
PHAC,overview,"May 8, 2026",For health professionals: Hantavirus infection,https://www.canada.ca/en/public-health/services/diseases/hantaviruses/health-professionals-treating-hantavirus-infection.html,Provides an overview of what health professionals need to know about hantavirus infection,
CDC,clinical brief,"May 8, 2026",Clinician Brief: Hantavirus Pulmonary Syndrome (HPS),https://www.cdc.gov/hantavirus/hcp/clinical-overview/hps.html,Provides an overview of what health professionals need to know about hantavirus infection,
CDC,overview,"May 10, 2026",Hantavirus Case Definition and Reporting,https://www.cdc.gov/hantavirus/php/surveillance/index.html,Provides an overview of the reporting criteria and case notificiation,
